title,category,text,recovery
DISMISSAL,dismissal,"Be warned! You've sold an awful lot of players, reducing your squad to the bare minimum. If you find yourself unable to field eleven men, you'll almost certainly be given the sack.","You have depleted your squad to such an extent that, should any of your remaining players pick up injuries, you'd be hard pressed to field eleven men. This blatant stupidity has earned you the sack."
LOTTO LOOT,windfall,A fan wins big on the lottery and decides to donate %s of his winnings to the team's hunt for new players.,
A WILL TO WIN,windfall,"A life-long supporter dies and leaves every penny to the club in his will. Although he lived like a miser, it turns out he had a secret horde of cash amounting to almost %s. Despite the protests of his family, the club pockets the lot.",
MAKING YOUR LANDMARK,windfall,The local council has decided to declare your stadium a landmark and has awarded a %s grant for its improvement.,
LEADING THE WAY,windfall,Your team has been recognized by the local council as Community Leaders. You receive a %s grant for their involvement.,
THROW THE BOOK AT THEM,windfall,A major publisher has produced a book about the history of the club. You receive %s in royalty payments for your involvement.,
TROUBLE BREWING,match_disruption,The police have received intelligence that rival fans intend to cause trouble at the match and so they're refusing to let the fixture go ahead. To be rescheduled.,"Following the threats of violence from rival supporters, the police have successfully identified and arrested the troublemakers and as a result are happy for the fixture to take place."
UNDER THE INFLUENZA,match_disruption,"A 'flu epidemic has reduced your squad to a mere handful. You contact the manager of your next league opponents and ask if he's willing to postpone the game until your players are fit. Fortunately, he agrees to this arrangement.","Most of the infected players have successfully shaken off the 'flu virus, so you've a full squad to choose from."
HEADING FOR A BREAKDOWN,match_disruption,"The team bus breaks down on the way to your next league opponent's ground. Although a relief coach is called for, it gets caught in heavy traffic and doesn't arrive for two hours. Rather than delay the start into the night, the police order the match to be called off.","After your team's coach travel chaos, the fixture has been re-arranged. Rest assured that this time you're going to travel with a more reputable coach company."
FAN POWER,match_disruption,Prior to a Championship game there is a sit-down protest in the centre circle by a section of fans unhappy with your string of recent losses. They refuse to leave and the police have to be called in to clear the pitch. Match abandoned.,The chairman has taken notice of the fans' sit-down protest and has made a statement to the press. This successfully placates the irate fans who promise that there will be no repeat of this unfortunate incident.
AMBUSH,match_disruption,"Rival fans attack the team bus on the way to the ground. Windows are broken and two of your star players are reduced to tears and refuse to get off the bus when it arrives at the ground. As a protest, you refuse to play the fixture until reparations have been made.","Following the nasty attack on your team bus, the rival club pay for repairs and make a public apology, promising that they will bring their fans into line. This seems an adequate response, so you agree to play the fixture."
A PAT ON THE BACK,player_message,%s comes to thank you for the faith that you've shown in him. He feels that he's become a better player for the extra training and tactical changes you've made and explains that he's happy to tie himself to the club for the foreseeable future.,
MAKING WAVES,player_message,"%s complains that he doesn't think that his playing strengths are being utilised. He also doesn't feel that he's getting paid nearly enough and will have to reconsider his future with the club. Unless things improve, he'll probably put in a transfer request.",
OVER THE HILL,player_message,"After giving years of sterling service to the club, %s has knees that are nothing but scar tissue and picks up regular injuries that keep him out of action for weeks at a time. The next season will almost certainly be his last - a prudent manager would start to look for a new player.",
ENOUGH'S ENOUGH,player_message,"It's crisis time when %s demands to leave the club. He's tired of your poor management, feels that the team's going nowhere and wants out while he can still negotiate a decent transfer fee and wage settlement with another club. If you think he's worth keeping, you might want to placate him.",
CONTRACTUAL OBLIGATIONS,player_message,"There are only %s months left to run on the contract of %s. He's becoming dissatisfied with the lack of certainty about the future and, once out of contract, you won't be able to make any money from a transfer. It's time to sort out the issue.","A serious lack of attention to detail over player contracts has occurred. As a result, a key player's contract has expired and he's moved on to another club. Your loss is their gain."
WHEN IN ROME,player_message,%s has failed to settle after coming to the club from %s and it's affecting his performances. Take action to remedy the situation or he may want to move on.,
OUT ON THE TILES,player_event,%s was spotted out on the tiles with a Page Three stunna the night before a big match. The tabloids have a field day and you are forced to discipline him with a heavy fine and a two match suspension.,"Having taken his punishment on the chin and agreed that there will be no repeat of the night-clubbing incident, %s is welcomed back to the first team."
BRUISED EGO,player_event,"Heart-throb %s has been mobbed by screaming schoolgirls at an autograph signing session. One over-eager admirer trod on his foot, giving him a bruise on his big toe that will keep him out of action for four weeks.","The %s big toe is back to its best, and he's promised to avoid any autograph signing sessions in the future."
A CORKING INJURY,player_event,"In celebrating the team's win, %s was struck in the eye with a champagne cork. The doctors say he'll be out for two games. In response, you have banned drinking from the dressing rooms.","The bruising to %s eye has subsided and his vision returned to perfect. However, it will be some time before you let him near a champagne bottle."
FALL FROM GRACE,player_event,%s fell off the catwalk in a recent fashion show and has broken his ankle. It'll take him six weeks to get back in shape.,King of the catwalk %s is now fit enough to return to first team action.
BOTTLE BLOND,player_event,The current trend for players to bleach their hair has claimed a victim from your team. Midfield dynamo %s opted for the new look but had an allergic reaction to the peroxide fumes. The resultant swelling around his eyes will keep him side-lined for up to a month.,Bottle blond %s has got over his allergy and is available for selection.
SPORTING INJURY,player_event,"Within hours of receiving his new sports car, %s managed to wrap it around a tree. Fortunately he wasn't badly hurt, merely shaken, and the police interview about the incident went well. He will need a couple of weeks to recover from the whiplash.","His whiplash all better, and having come through training without an adverse reaction, speed king %s is ready for the first team again."
IT'S ONLY ROCK'N'ROLL,player_event,"Striking partners %s and %s have both been ruled out for six weeks. They attended a rock concert at the stadium and were caught in the crush at the front of the stage. %s tore the ligaments in his ankle, while %s damaged both knees. Future attendance of rock concerts has been ruled out for the entire team.","It's been a long six weeks to miss key players of this quality, and those rock fans have a lot to answer for, but at long last %s and %s have returned. Both are aching to get back into the thick of it."
GIVEN THE ELBOW,player_event,"%s used his skills to prevent a mugger escaping the scene of a crime, diving at the man's feet and bringing him crashing to the ground. Although applauded as a hero, the impact of the fall damaged your 'keeper's right elbow. He will be out of action for three weeks.",Your heroic 'keeper's elbow has healed. He's fit and ready to try and avoid a mugging from the league's most lethal finishers.
BIRTH CONTROL,player_event,"The wife of %s has just given birth to quintuplets. Unfortunately, the shock was so great that your player passed out in the delivery room, concussing himself in the process. He will be back in two weeks.","Fully recovered from his concussion, the new dad at the heart of your defence is ready for re-selection."
TUMMY TROUBLE,player_event,%s has come down with gastroenteritis after failing to follow the club doctor's advice to avoid eating kebabs. It will be three weeks before he's back to full strength.,%s's large intestine has got over its close encounter with a kebab and is now re-absorbing water with its usual efficiency. The re-hydrated midfield maestro is up for it once again.
A BITE FOR BREAKFAST,player_event,"%s was out on his morning run yesterday when a stray dog attacked him, badly biting his hand. He'll be unavailable for selection for at least a week, after which he'll probably have to play with the injured hand bandaged for up to a month.",The stitches have been removed and %s's prepared to put the bite back into your back four.
MODEL PLAYER,player_event,%s's modelling assignments have been taking up far too much of his time recently. He's missed training and lost the edge of his fitness. You drop him for three games and supervise a more strenuous training regime to get him back to his peak.,"Having concentrated all of his energies on his training rather than his preening, %s is back at his physical peak."
A WELL-EARNED PROMOTION,season_result,"Well done. After a long, hard season you've finished top of the league and can look forward to playing in a higher division next year. The challenge then will be survival among much classier opposition.",
TAKING THE DROP,season_result,"Unfortunately your lack of managerial acumen has seen to it that your team have been relegated. You'll be playing in a lower division next year, with resultant lower revenue and a discontented squad. It will be a tall order to keep the team together.",
"TOP, TOP, TOP, TOP, TOP OF THE LEAGUE!",season_result,"Congratulations, you've guided your team all the way to the League Championship. You've set a new standard, which you'll have to try to maintain next season when every other team will be gunning for you.",
PITCH BATTLE,pitch_warning,"Adverse weather conditions, combined with the inefficiency of your groundsmen, have combined to turn the playing surface into a mire. Opposition teams have complained to the football authorities who may fine you if the pitch doesn't come up to scratch.",
HOLE LOT OF TROUBLE,pitch_warning,"Your home ground is full of divots and pot holes. This is as much a disadvantage to you as to the opposition, making accurate passing play very difficult.",
LIFE'S A PITCH,pitch_warning,Due to a lack of attention the condition of your pitch has fallen below the minimum acceptable standard. FIFA has barred you from playing any home games until the playing surface has been restored.,The money you invested in pitch repairs has been wisely spent. The playing surface is now back up to standard and FIFA have lifted its ban on your home games.
FROZEN OUT,pitch_event,Lack of attention from your groundsmen and a sudden cold snap are more than your under-soil heating can handle. The pitch is frozen solid and won't take a stud. Match officials call off the game until the pitch has thawed. You have to play your next two league games away from home.,The under-soil heating has done its job and your home pitch has thawed. The team can resume their league programme on their own turf at last.
BOGGED DOWN,pitch_event,"The long season has taken its toll on the pitch, with large areas devoid of grass. Combined with torrential rainfall, the turf has turned into a bog. The standing water is so deep that, despite the best efforts of your groundsmen, it won't be ready in time for kick-off of this vital Championship fixture.",The groundsmen have sorted out the pitch and the postponed match can now be played.
PEA-SOUPER,pitch_event,A thick fog has enveloped the ground. The referee inspects the pitch and decides that visibility is so reduced that he can't allow the game to take place.,"The shroud of fog has dispersed from around your ground, meaning that the cancelled fixture can now take place."
POISON POISSON,general_event,"An outbreak of food poisoning has decimated your squad. The infection appears to have been picked up from the lobster main course served by the hotel used for a recent away game. The FA give you special dispensation until your players are fit again, putting off your next league game until later in the season.","Your squad is back up to strength following the food poisoning alert, although it's likely to be a considerable length of time before any of them can face sea food again."
POWER CUT,general_event,"Just before an evening kick-off, a sudden power cut plunges the whole area into darkness. Your stadium's flood-lights fail, causing this Championship game to be rescheduled for later in the season.","The power restored, your floodlights are back in working order. The postponed fixture can now take place."
LIFE'S A GAS,general_event,A nearby gas main has been ruptured on match day. The police are forced to cordon off the stadium and this game has to be cancelled until further notice. Your next home match is postponed while repairs take place.,The gas board have completed repairs to the leaking main and the ground is perfectly safe for home matches to be held there.
TIME OF THE MONTH,financial_warning,It's that time of the month again. Your players' wages are about to be deducted. This will reduce your bank balance by %s amount.,
HEADING FOR THE RED,financial_warning,The club is not generating enough income through merchandise and gate receipts to cover expenditure on player wages and transfer fees. You are going to have to pay close attention to finances before you slip irreversibly into debt.,
MONEY TROUBLES,financial_warning,The financial situation is becoming desperate. The club has now failed to make a profit for a number of consecutive months. Deal with it now or face bankruptcy.,
LOSE YOUR SHIRT,financial_event,"The club signs a lucrative shirt sponsorship deal with a multinational corporation, adding %s to the clubs coffers over the next four years.",
HEART-THROB,financial_event,"One of your star players has become a heart-throb. Although he keeps all the cash from the sales of records, posters and calendars, the knock-on effect on sales of team merchandise has been dramatic. Profits increase by %s per month.",
TREATED LIKE ROYALTY,financial_event,"Electronic Arts approaches you with a video game design based on your club, with a healthy royalty rate of %s%%. An advance cheque for %s made out to the club awaits you the moment the deal is signed.",
BIG BOX OFFICE,financial_event,"The stadium is employed by a major music promoter for a two-day rock festival. As the music fans can occupy the pitch, it swells the ground capacity to almost %s. Your cut of the box office receipts is %s%%, netting the club a cool %s.",
NICE MERCHANDISE,financial_event,The commercial manager succeeds in signing licensing agreements with some of the pirate merchandisers who operate outside the ground on match days. This lucrative sideline earns the club an extra %s in souvenir T-shirt and fanzine sales at each home game.,
FAITHFUL FOLLOWERS,financial_event,"The God Squad are in town, and your stadium is the only venue large enough to seat %s of the faithful eager to hear what American evangelist Billy Goat has to say. The receipts from this venture put an additional %s in the club's coffers.",
ON SONG,financial_event,"Your team decide to record a song to commemorate their achievements. This zooms high into the popular music charts, making the club in excess of %s.",
CASH PRIZES,competition,Well done! By progressing this far in the Cup you've earned the club a healthy injection of cash.,
CUP OF JOY,competition,"Congratulations! You've won the Cup, which not only puts silverware in the trophy cabinet and will help improve attendance figures, but also earns the club a tidy sum.",
IT'S A KNOCKOUT,competition,"The next fixture is a vital cup game. Lose this, and you're out of the competition until next season.",
ASHES TO ASHES,function_room,"One of the club's devoted followers has died and wants his ashes scattered on the pitch. If you give permission the wake will be held in the function room, adding %s to your coffers.",
LODGE A COMPLAINT,function_room,"The Masonic lodge want to hold their monthly meetings in your function room. This is worth %s and, as the local Chief Constable is among their number, it won't do your relations with the police any harm at all.",
PERFECT RECEPTION,function_room,You can pocket %s if you let out the function rooms for a fan's wedding reception.,
GIRLS' NIGHT OUT,function_room,"A group of young ladies want your function rooms for a collective 21st birthday celebration, a nice little earner at %s for the night. A lot of your players have also volunteered to turn up - imagine that.",
NIGHT OF THE ROUND TABLE,function_room,The members of the local Round Table have chosen your function rooms for their annual dinner. This will earn the club an extra %s.,
CHARGING THE EARTH?,function_room,"An electronics company keen to be associated with the club want to use your function rooms for a conference, and will pay %s for the privilege.",
HAVING A BALL,function_room,The Hooray Henrys from the university down the road want your function rooms for a black tie ball. This lucrative little number would put %s in the club's account.,
MEDALLION MAN,function_room,A respected local businessman has been awarded the OBE and his friends and business associates want to use your function rooms to spring a surprise celebration. It would earn the club %s.,
JOIN THE PARTY,function_room,A parliamentary candidate eager to be seen as a man of the people wants your function rooms for an election night rally. He's prepared to give you %s of party funds to cover costs.,
LARGIN' IT,function_room,"Some rave club promoters want to use your function rooms for a huge club night, with half a dozen top DJs and the biggest PA you've ever seen. You'll be in for a cut of ticket sales, which could net you %s.",
ALL-SEATER,facility,You have invested in converting the old terraced areas into seating. This building work will take %s months to complete and the stadium capacity will be subsequently reduced.,The construction of your glorious all-seater stadium has finally been completed. The ground is now up to Premiership standards.
STAND UP AND BE COUNTED,facility,"It will take 4 months to re-build the north stand, so you'll not only have to pay for the ground improvements but also have less cash coming through the turnstiles until the stand re-opens.",The construction work involved in adding additional tiers to the east stand will last for 3 months. The whole stand will have to remain closed until this work is completed.
GROUND RE-OPENDED,facility,Construction work has been completed and all areas of the ground have been re-opened.,The money you have invested improving the ground has been well spent. Your stadium is now on a par with anything in the division.
SUB-STANDARD,facility,Your ground does not meet Premiership regulations. Any terraced areas will have to remain out of bounds until you can afford to replace them with seating.,
FIRE-DAMAGE,facility,Fire has destroyed the north stand over night. Insurance assessors estimate the damage may run into millions. Match postponed while the fire service damp down the still-smoldering remains.,"Following the recent fire the ground has been deemed safe by the authorities. However, you will have to invest heavily to re-build the destroyed stand, unless you're prepared to put up with seriously reduced capacity."
BOOK EARLY,discipline,Your player received a yellow card. This will add to the disciplinary points he has already earned this season.,
DISCIPLINARY ACTION,discipline,The booking your player got during the match takes his disciplinary points over the limit. He will have to miss the next match.,
EARLY BATH,discipline,When your player was given the red card for two bookable offences it meant that he automatically incurred a two match ban.,
THROW THE BOOK AT HIM,discipline,The referee dismissed your player for violent conduct. He receives an instant four match ban and may well become subject to an official inquiry.,
‘KEEPER CALAMITY,injury,"Your first choice ‘keeper %s damages his elbow on a rest day. Although he claimed to have been taking it easy, you’re not so certain. His arm will be strapped up for %s weeks.",%s’s damaged elbow has fully recovered and he’s ready to do the business for you again defending his goal.
HEAD STRONG,injury,"%s receives a concussion in a fall, leaving him dazed, confused and with a bump like a goose egg on the back of his head. He’ll be unavailable for selection for at least %s weeks.",The lump on his head has subsided and %s is prepared for first team action once more.
SICKENER,injury,"A stomach bug has left your striker %s with severe vomiting and diarrhoea, leaving him dehydrated and feeling as weak as a kitten. It will take at least %s weeks for him to return to full fitness.","%s has recovered from his rather messy stomach upset and, if anything, is a leaner version of his former self. He’s ready to inflict real damage on opposition defences."
EYE-OPENER,injury,Severe bruising following a nasty blow has almost completely closed %s’s right eye. The swelling will take some weeks to subside and it’s likely to be %s weeks before his vision recovers.,%s can now see perfectly again. He’s intent on getting back into the first team and setting his sights on goal.
LET’S TWIST AGAIN,injury,"Your defender, %s, has developed a nasty hernia which will require surgery. It’s an injury that could keep him sidelined for as much as %s months.",%s has had all of his intestines put neatly back into place under the surgeon’s knife and has come through training without showing any after effects. It’s safe to re-consider him for selection.
CRIPPLING INJURY,retirement,A crippling injury forces %s to retire from professional football still with years in the first team ahead of him. It’s a blow to the club and he’ll be missed - but that’s football.,
BLUNTED EDGE,retirement,"%s feels that he’s lost some of his edge in pace and skill. Rather than be relegated to the subs’ bench or reserves, he decides to retire now. It’s the decision a you can respect, but it will be difficult to find someone to fill his boots.",
HANGING UP HIS BOOTS,retirement,"Having had enough of constant training and the physical attrition of match days, %s has taken it upon himself to hang up his boots. It comes as something of a surprise and will severely weaken your squad.",
ENOUGH IS ENOUGH,retirement,"%s has spent years with the club and has had a great life as a professional footballer. However, enough is enough and he suddenly announces his decision to quit football altogether.",
FIT TO DROP,match_disruption,Your squad has been depleted by injury and ill-fortune to such an extent that you don't have enough fit players for the next game. The match will have to be postponed until later in the season.,
CALLING IT A DAY,retirement,"After giving the club the best years of his playing career, %s is considering calling it a day. If he retires, his wealth of experience will be missed.",
EXHAUST FUMES,general_event,A combination of fixture congestion and a hard training schedule has brought some of your players close to collapse. It would be a good idea to rest some of those most seriously affected.,
CHAMPIONS!,season_result,"You've lead your club to the ultimate accolade - the League Championship. Enjoy your moment of glory, but remember that it's up to you to sustain this success in the season to follow.",
RUNNING SCARED?,match_disruption,"The opposition have pulled out of the next fixture citing 'unforeseen circumstances'. Although the gap in your schedule will give players a well-earned rest, it may mean congestion later in the season.",
OPEN FOR BUSINESS,facility,The improvements to your stadium have now been completed. Let's hope the fans approve of the new look.,
LOW DISK SPACE,misc,You have only %3.1fMb available on your hard-drive. Please exit the game or ALT-TAB and delete some files.,
